Artist,Song,URL
The Rolling Stones,(I Can’t Get No) Satisfaction,https://www.whosampled.com/The-Rolling-Stones/%28I-Can%27t-Get-No%29-Satisfaction/
Jay-Z feat. Alicia Keys,Empire State of Mind,https://www.whosampled.com/Jay-Z/Empire-State-of-Mind/
Neil Diamond,Sweet Caroline,https://www.whosampled.com/Neil-Diamond/Sweet-Caroline/
Cyndi Lauper,Time After Time,https://www.whosampled.com/Cyndi-Lauper/Time-After-Time/
Brandy & Monica,The Boy Is Mine,https://www.whosampled.com/Brandy/The-Boy-Is-Mine/
INXS,Need You Tonight,https://www.whosampled.com/INXS/Need-You-Tonight/
Michael Jackson,Don’t Stop ‘Til You Get Enough,https://www.whosampled.com/Michael-Jackson/Don%27t-Stop-%E2%80%98Til-You-Get-Enough/
The Cars,Just What I Needed,https://www.whosampled.com/The-Cars/Just-What-I-Needed/
Lorde,Royals,https://www.whosampled.com/Lorde/Royals/
Nirvana,Smells Like Teen Spirit,https://www.whosampled.com/Nirvana/Smells-Like-Teen-Spirit/
Nancy Sinatra,These Boots Are Made for Walkin',https://www.whosampled.com/Nancy-Sinatra/These-Boots-Are-Made-for-Walkin%27/
Huey Lewis & The News,The Power of Love,https://www.whosampled.com/Huey-Lewis/The-Power-of-Love/
Rihanna feat. Calvin Harris,We Found Love,https://www.whosampled.com/Rihanna/We-Found-Love/
Jimmy Buffett,Margaritaville,https://www.whosampled.com/Jimmy-Buffett/Margaritaville/
Toto,Africa,https://www.whosampled.com/Toto/Africa/
George Michael,Faith,https://www.whosampled.com/George-Michael/Faith/
The Black Eyed Peas,I Gotta Feeling,https://www.whosampled.com/The-Black-Eyed-Peas/I-Gotta-Feeling/
Marvin Gaye,What’s Going On,https://www.whosampled.com/Marvin-Gaye/What%27s-Going-On/
Sugarhill Gang,Rapper’s Delight,https://www.whosampled.com/Sugarhill-Gang/Rapper%27s-Delight/
Annie Lennox,Walking on Broken Glass,https://www.whosampled.com/Annie-Lennox/Walking-on-Broken-Glass/
Lil Uzi Vert,XO Tour Llif3,https://www.whosampled.com/Lil-Uzi-Vert/XO-Tour-Llif3/
Kool & The Gang,Celebration,https://www.whosampled.com/Kool/Celebration/
Lipps Inc.,Funkytown,https://www.whosampled.com/Lipps-Inc./Funkytown/
Commodores,Brick House,https://www.whosampled.com/Commodores/Brick-House/
Adele,Someone Like You,https://www.whosampled.com/Adele/Someone-Like-You/
Paramore,Still Into You,https://www.whosampled.com/Paramore/Still-Into-You/
Sly & The Family Stone,Everyday People,https://www.whosampled.com/Sly/Everyday-People/
Drake,Best I Ever Had,https://www.whosampled.com/Drake/Best-I-Ever-Had/
La Roux,Bulletproof,https://www.whosampled.com/La-Roux/Bulletproof/
Bob Seger,Night Moves,https://www.whosampled.com/Bob-Seger/Night-Moves/
Ghost Town DJ’s,My Boo,https://www.whosampled.com/Ghost-Town-DJ%27s/My-Boo/
The Beatles,Hey Jude,https://www.whosampled.com/The-Beatles/Hey-Jude/
The Police,Every Breath You Take,https://www.whosampled.com/The-Police/Every-Breath-You-Take/
Montell Jordan,This Is How We Do It,https://www.whosampled.com/Montell-Jordan/This-Is-How-We-Do-It/
John Mellencamp,Jack & Diane,https://www.whosampled.com/John-Mellencamp/Jack-%26-Diane/
Blue Swede,Hooked on a Feeling,https://www.whosampled.com/Blue-Swede/Hooked-on-a-Feeling/
