Artist,Song,Samples
Peter Gabriel,Sledgehammer,[Shakuhachi by E-mu Systems]
The Drifters,Under the Boardwalk,[Up on the Roof by The Drifters]
Isaac Hayes,Theme From ‘Shaft',No samples found.
Plain White T’s,Hey There Delilah,No samples found.
Jackie Wilson,(Your Love Keeps Lifting Me) Higher and Higher,No samples found.
Los Del Rio,Macarena (Bayside Boys Mix),No samples found.
New Kids on the Block,You Got It (The Right Stuff),No samples found.
Toni Basil,Mickey,No samples found.
Connie Francis,Stupid Cupid,No samples found.
Demi Lovato,Give Your Heart a Break,No samples found.
Irene Cara,Flashdance…What a Feeling,No samples found.
Berlin,Take My Breath Away,No samples found.
Alice Deejay,Better Off Alone,No samples found.
Ella Mai,Boo’d Up,No samples found.
The Dave Clark Five,Glad All Over,No samples found.
Tony Bennett,I Left My Heart in San Francisco,No samples found.
Real McCoy,Another Night,[Desire by Roni Griffith]
The Romantics,What I Like About You,No samples found.
Ciara feat. Petey Pablo,Goodies,No samples found.
The Shangri-Las,Give Him a Great Big Kiss,No samples found.
First Class,Beach Baby,No samples found.
Debbie Gibson,Only in My Dreams,No samples found.
Little Anthony and the Imperials,Tears on My Pillow,No samples found.
Biz Markie,Just a Friend,"[(You) Got What I Need by Freddie Scott], [Get Out of My Life, Woman by Lee Dorsey]"
Nina Sky feat. Jibbs,Move Ya Body,"[Coolie Dance Rhythm by Cordel ""Scatta"" Burrell], [Can You Feel the Beat by Lisa Lisa & Cult Jam and Full Force]"
Right Said Fred,I’m Too Sexy,"[Third Stone From the Sun by Jimi Hendrix], [Think (About It) by Lyn Collins], [Hot Pants (Bonus Beats) by Bobby Byrd]"
Darlene Love,Christmas (Baby Please Come Home),No samples found.
Roddy Ricch,The Box,[DawnSynphony by Roland Corporation]
Badfinger,No Matter What,No samples found.
En Vogue,My Lovin’ (You’re Never Gonna Get It),[The Payback by James Brown]
Usher,You Make Me Wanna…,No samples found.
Luther Vandross,Never Too Much,No samples found.
"Cam’Ron feat. Juelz Santana, Freekey Zekey & Toya",Hey Ma,[Easy by Commodores]
Roxette,It Must Have Been Love,No samples found.
Ohio Express,Yummy Yummy Yummy,No samples found.
Billy Ray Cyrus,Achy Breaky Heart,No samples found.
Cassie,Me & U,No samples found.
